Programme: BA-B Ed (Integrated) | Eligibility: 10+2 in any stream with minimum 50% marks | Intake: 50 | Level: UG | Medium: English

Programme: B Ed (Bachelor of Education) | Eligibility: Graduation in any stream with minimum 50% marks | Intake: 100 | Level: UG | Medium: English

Programme: M Ed (Master of Education) | Eligibility: B.Ed./B.A.B.Ed.(Int.)/B.Sc. B.Ed. (Int.)/B.EP,Ed./D,EI,E d. with graduation, with minimum 50% marks. | Intake: 50 | Level: PG | Medium: English

Programme: BSc B Ed (Integrated) | Eligibility: 10+2 in Science Stream with PCB / PCM with minimum 50% marks | Intake: 50 | Level: UG | Medium: English

Programme: Pharm D (Doctor of Pharmacy) | Eligibility: 10+2 in Science stream with PCB/M or D. Pharm. Or B. Pharm. and minimum 50% marks in aggregate. | Intake: 30 | Level: PG | Medium: English

Programme: Bachelor of Optometry | Eligibility: 10+2 in Science stream with PCB / PCM and minimum 50% marks in aggregate. | Intake: 80 | Level: UG | Medium: English

Programme: Bachelor of Physiotherapy (BPT) | Eligibility: 10+2 in Science stream with PCB and English subject and minimum 50% marks in aggregate | Intake: 120 | Level: UG | Medium: English

Programme: BCA in Mobile Application & Web Technologies - (Offered till 2023-2024) | Eligibility: 10+2 in any Stream with minimum 50% marks in aggregate. | Intake: 150 | Level: UG | Medium: English

Programme: BBA in International Business & Entrepreneurship - (Offered till 2023-2024) | Eligibility: 10+2 in any Stream with minimum 50% marks in aggregate. | Intake: 240 | Level: UG | Medium: English

Programme: BCom (Hons.) - (Offered till 2023-2024) | Eligibility: 10+2 in commerce / science stream with minimum 60% marks | Intake: 150 | Level: UG | Medium: English

Programme: BCom (Hons) in Financial Markets - (Offered till 2023-2024) | Eligibility: 10+2 in any Stream with minimum 50% marks in aggregate. | Intake: 120 | Level: UG | Medium: English

Programme: MBA in Supply Chain Management & Logistic - (Offered till 2023-2024) | Eligibility: 10+2 in any stream | Intake: 120 | Level: PG | Medium: English

Programme: MBA in Hospital Management (MBA) | Eligibility: Graduation in any stream and minimum 50% marks in aggregate | Intake: 120 | Level: PG | Medium: English

Programme: BTech CSE- Specialisation in Artificial Intelligence, Machine Learning & Deep Learning | Eligibility: 10+2 with Physics, Maths & Chemistry (or Computer Science ) with minimum 50% marks and passing marks in English | Intake: 60 | Level: UG | Medium: English

Programme: BTech CSE in Cloud Technology & Information Security - (Offered till 2023-2024) | Eligibility: 10+2 with Physics, Maths & Chemistry (or Computer Science ) with minimum 50% marks and passing marks in English | Intake: 60 | Level: UG | Medium: English

Programme: BTech CSE in Data Science - (Offered till 2023-2024) | Eligibility: 10+2 with Physics, Maths & Chemistry (or Computer Science ) with minimum 50% marks and passing marks in English | Intake: 60 | Level: UG | Medium: English

